NRGSTREAM Data Extract for stream : ERC - Actual System Demand
Generated at : 11/13/2024 09:38 with : 29976 records
Date criteria from : May 30 2021 to : Oct 30 2024
Data Interval : 60 minutes

Date/Time,Avg Load (MW)
05/30/2021 00:00,40156
05/30/2021 01:00,38089
05/30/2021 02:00,36483
05/30/2021 03:00,35424
05/30/2021 04:00,34711
05/30/2021 05:00,34467
05/30/2021 06:00,34384
05/30/2021 07:00,34796
05/30/2021 08:00,36371
05/30/2021 09:00,38234
05/30/2021 10:00,40356
05/30/2021 11:00,42414
05/30/2021 12:00,44596
05/30/2021 13:00,46477
05/30/2021 14:00,48065
05/30/2021 15:00,48962
05/30/2021 16:00,49570
05/30/2021 17:00,49589
05/30/2021 18:00,48582
05/30/2021 19:00,47132
05/30/2021 20:00,46216
05/30/2021 21:00,45596
05/30/2021 22:00,43603
05/30/2021 23:00,41254
05/31/2021 00:00,38908
05/31/2021 01:00,37085
05/31/2021 02:00,35915
05/31/2021 03:00,35113
05/31/2021 04:00,34777
05/31/2021 05:00,35051
05/31/2021 06:00,35317
05/31/2021 07:00,35600
05/31/2021 08:00,37567
05/31/2021 09:00,40197
05/31/2021 10:00,42445
05/31/2021 11:00,44618
05/31/2021 12:00,46421
05/31/2021 13:00,47830
05/31/2021 14:00,48843
05/31/2021 15:00,49561
05/31/2021 16:00,50014
05/31/2021 17:00,49833
05/31/2021 18:00,48741
05/31/2021 19:00,47495
05/31/2021 20:00,46706
05/31/2021 21:00,45827
05/31/2021 22:00,43528
05/31/2021 23:00,40784
06/01/2021 00:00,38440
06/01/2021 01:00,36710
06/01/2021 02:00,35560
06/01/2021 03:00,35052
06/01/2021 04:00,35026
06/01/2021 05:00,36107
06/01/2021 06:00,38080
06/01/2021 07:00,39304
06/01/2021 08:00,40654
06/01/2021 09:00,42136
06/01/2021 10:00,43520
06/01/2021 11:00,44678
06/01/2021 12:00,45613
06/01/2021 13:00,46831
06/01/2021 14:00,47868
06/01/2021 15:00,48878
06/01/2021 16:00,49742
06/01/2021 17:00,49948
06/01/2021 18:00,49442
06/01/2021 19:00,48530
06/01/2021 20:00,47698
06/01/2021 21:00,46693
06/01/2021 22:00,44114
06/01/2021 23:00,40825
06/02/2021 00:00,37899
06/02/2021 01:00,35879
06/02/2021 02:00,34473
06/02/2021 03:00,33627
06/02/2021 04:00,33640
06/02/2021 05:00,34580
06/02/2021 06:00,36268
06/02/2021 07:00,37954
06/02/2021 08:00,40043
06/02/2021 09:00,42582
06/02/2021 10:00,45303
06/02/2021 11:00,47893
06/02/2021 12:00,50221
06/02/2021 13:00,52430
06/02/2021 14:00,54180
06/02/2021 15:00,55005
06/02/2021 16:00,55339
06/02/2021 17:00,55102
06/02/2021 18:00,54010
06/02/2021 19:00,52118
06/02/2021 20:00,50447
06/02/2021 21:00,48557
06/02/2021 22:00,45212
06/02/2021 23:00,41586
06/03/2021 00:00,38515
06/03/2021 01:00,36336
06/03/2021 02:00,34918
06/03/2021 03:00,34045
06/03/2021 04:00,34142
06/03/2021 05:00,35129
06/03/2021 06:00,36918
06/03/2021 07:00,38353
06/03/2021 08:00,40259
06/03/2021 09:00,42695
06/03/2021 10:00,45336
06/03/2021 11:00,47188
06/03/2021 12:00,48685
06/03/2021 13:00,49771
06/03/2021 14:00,49687
06/03/2021 15:00,49169
06/03/2021 16:00,48767
06/03/2021 17:00,48049
06/03/2021 18:00,46834
06/03/2021 19:00,45892
06/03/2021 20:00,45504
06/03/2021 21:00,44738
06/03/2021 22:00,42435
06/03/2021 23:00,39622
06/04/2021 00:00,37184
06/04/2021 01:00,35407
06/04/2021 02:00,34335
06/04/2021 03:00,33721
06/04/2021 04:00,33857
06/04/2021 05:00,34687
06/04/2021 06:00,36508
06/04/2021 07:00,38065
06/04/2021 08:00,39806
06/04/2021 09:00,41655
06/04/2021 10:00,43456
06/04/2021 11:00,45088
06/04/2021 12:00,46333
06/04/2021 13:00,47794
06/04/2021 14:00,49062
06/04/2021 15:00,49978
06/04/2021 16:00,50440
06/04/2021 17:00,49995
06/04/2021 18:00,48872
06/04/2021 19:00,47531
06/04/2021 20:00,46642
06/04/2021 21:00,45906
06/04/2021 22:00,43960
06/04/2021 23:00,41597
06/05/2021 00:00,39038
06/05/2021 01:00,37072
06/05/2021 02:00,35711
06/05/2021 03:00,34777
06/05/2021 04:00,34323
06/05/2021 05:00,34531
06/05/2021 06:00,34943
06/05/2021 07:00,35825
06/05/2021 08:00,38055
06/05/2021 09:00,41082
06/05/2021 10:00,44165
06/05/2021 11:00,47030
06/05/2021 12:00,49477
06/05/2021 13:00,51282
06/05/2021 14:00,52542
06/05/2021 15:00,52668
06/05/2021 16:00,52385
06/05/2021 17:00,52556
06/05/2021 18:00,51574
06/05/2021 19:00,49395
06/05/2021 20:00,47633
06/05/2021 21:00,46379
06/05/2021 22:00,44634
06/05/2021 23:00,42097
06/06/2021 00:00,39433
06/06/2021 01:00,37293
06/06/2021 02:00,35770
06/06/2021 03:00,34658
06/06/2021 04:00,34012
06/06/2021 05:00,33952
06/06/2021 06:00,34207
06/06/2021 07:00,35013
06/06/2021 08:00,37703
06/06/2021 09:00,40935
06/06/2021 10:00,43971
06/06/2021 11:00,47142
06/06/2021 12:00,50264
06/06/2021 13:00,53140
06/06/2021 14:00,55543
06/06/2021 15:00,57184
06/06/2021 16:00,58470
06/06/2021 17:00,59117
06/06/2021 18:00,58586
06/06/2021 19:00,56958
06/06/2021 20:00,55077
06/06/2021 21:00,53852
06/06/2021 22:00,51014
06/06/2021 23:00,47883
06/07/2021 00:00,44676
06/07/2021 01:00,42556
06/07/2021 02:00,41072
06/07/2021 03:00,40280
06/07/2021 04:00,40289
06/07/2021 05:00,41433
06/07/2021 06:00,43254
06/07/2021 07:00,44815
06/07/2021 08:00,46426
06/07/2021 09:00,48158
06/07/2021 10:00,50235
06/07/2021 11:00,52010
06/07/2021 12:00,53263
06/07/2021 13:00,54345
06/07/2021 14:00,55310
06/07/2021 15:00,56439
06/07/2021 16:00,57219
06/07/2021 17:00,57653
06/07/2021 18:00,57400
06/07/2021 19:00,56184
06/07/2021 20:00,54926
06/07/2021 21:00,53981
06/07/2021 22:00,51273
06/07/2021 23:00,48192
06/08/2021 00:00,45432
06/08/2021 01:00,43271
06/08/2021 02:00,41888
06/08/2021 03:00,41103
06/08/2021 04:00,41012
06/08/2021 05:00,42064
06/08/2021 06:00,43720
06/08/2021 07:00,44994
06/08/2021 08:00,46585
06/08/2021 09:00,48644
06/08/2021 10:00,51258
06/08/2021 11:00,54094
06/08/2021 12:00,56878
06/08/2021 13:00,59591
06/08/2021 14:00,61666
06/08/2021 15:00,62803
06/08/2021 16:00,63751
06/08/2021 17:00,63703
06/08/2021 18:00,62723
