NRGSTREAM Data Extract for stream : ERC - 5 Min Avg System Wide Wind
Generated at : 11/11/2024 11:05 with : 29976 records
Date criteria from : May 30 2021 to : Oct 30 2024
Data Interval : 60 minutes

Date/Time,MW
05/30/2021 00:00,13546.42
05/30/2021 01:00,13099.21
05/30/2021 02:00,12434.35
05/30/2021 03:00,10962.38
05/30/2021 04:00,9536.83
05/30/2021 05:00,8975.84
05/30/2021 06:00,7890.35
05/30/2021 07:00,6466.22
05/30/2021 08:00,4995.75
05/30/2021 09:00,5514.73
05/30/2021 10:00,6865.83
05/30/2021 11:00,8969.93
05/30/2021 12:00,11473.56
05/30/2021 13:00,13291.56
05/30/2021 14:00,15449.60
05/30/2021 15:00,16941.66
05/30/2021 16:00,17559.46
05/30/2021 17:00,18466.24
05/30/2021 18:00,19105.58
05/30/2021 19:00,18813.14
05/30/2021 20:00,18350.72
05/30/2021 21:00,18279.56
05/30/2021 22:00,18294.63
05/30/2021 23:00,17621.43
05/31/2021 00:00,17367.99
05/31/2021 01:00,17540.38
05/31/2021 02:00,16180.01
05/31/2021 03:00,13927.58
05/31/2021 04:00,12238.96
05/31/2021 05:00,10850.25
05/31/2021 06:00,9708.00
05/31/2021 07:00,10011.35
05/31/2021 08:00,11445.70
05/31/2021 09:00,12824.78
05/31/2021 10:00,11795.19
05/31/2021 11:00,11553.12
05/31/2021 12:00,12346.41
05/31/2021 13:00,12066.39
05/31/2021 14:00,10413.59
05/31/2021 15:00,12548.40
05/31/2021 16:00,12093.99
05/31/2021 17:00,11102.73
05/31/2021 18:00,9248.20
05/31/2021 19:00,8201.29
05/31/2021 20:00,7180.68
05/31/2021 21:00,6473.38
05/31/2021 22:00,6379.99
05/31/2021 23:00,6179.96
06/01/2021 00:00,5261.83
06/01/2021 01:00,4764.90
06/01/2021 02:00,4727.49
06/01/2021 03:00,4394.14
06/01/2021 04:00,4249.96
06/01/2021 05:00,4587.62
06/01/2021 06:00,5535.61
06/01/2021 07:00,5002.52
06/01/2021 08:00,4455.42
06/01/2021 09:00,3839.94
06/01/2021 10:00,2751.57
06/01/2021 11:00,2319.84
06/01/2021 12:00,2314.23
06/01/2021 13:00,1704.57
06/01/2021 14:00,1472.26
06/01/2021 15:00,1163.85
06/01/2021 16:00,789.74
06/01/2021 17:00,750.04
06/01/2021 18:00,602.89
06/01/2021 19:00,682.47
06/01/2021 20:00,1321.36
06/01/2021 21:00,2173.73
06/01/2021 22:00,2804.41
06/01/2021 23:00,3342.51
06/02/2021 00:00,3785.94
06/02/2021 01:00,4749.19
06/02/2021 02:00,5182.84
06/02/2021 03:00,4960.08
06/02/2021 04:00,4843.67
06/02/2021 05:00,3933.33
06/02/2021 06:00,2971.26
06/02/2021 07:00,2899.46
06/02/2021 08:00,2097.04
06/02/2021 09:00,1203.23
06/02/2021 10:00,1094.06
06/02/2021 11:00,1285.20
06/02/2021 12:00,1078.77
06/02/2021 13:00,928.08
06/02/2021 14:00,1513.46
06/02/2021 15:00,1639.19
06/02/2021 16:00,2613.50
06/02/2021 17:00,3076.64
06/02/2021 18:00,3800.56
06/02/2021 19:00,4353.56
06/02/2021 20:00,5450.50
06/02/2021 21:00,5517.08
06/02/2021 22:00,5655.88
06/02/2021 23:00,6064.81
06/03/2021 00:00,7170.20
