NRGSTREAM Data Extract for stream : ERC - Ancillary ECRS
Generated at : 11/13/2024 09:51 with : 12084 records
Date criteria from : Jun 14 2023 to : Oct 30 2024
Data Interval : 60 minutes

Date/Time,MW
06/14/2023 12:00,2521
06/14/2023 13:00,2578
06/14/2023 14:00,2494
06/14/2023 15:00,2518
06/14/2023 16:00,2522
06/14/2023 17:00,2435
06/14/2023 18:00,2589
06/14/2023 19:00,2573
06/14/2023 20:00,2409
06/14/2023 21:00,2104
06/14/2023 22:00,1561
06/14/2023 23:00,1636
06/15/2023 00:00,1505
06/15/2023 01:00,1374
06/15/2023 02:00,1476
06/15/2023 03:00,1471
06/15/2023 04:00,1425
06/15/2023 05:00,1540
06/15/2023 06:00,1730
06/15/2023 07:00,1797
06/15/2023 08:00,2242
06/15/2023 09:00,2336
06/15/2023 10:00,2353
06/15/2023 11:00,2463
06/15/2023 12:00,2500
06/15/2023 13:00,2596
06/15/2023 14:00,2492
06/15/2023 15:00,2515
06/15/2023 16:00,2519
06/15/2023 17:00,2448
06/15/2023 18:00,2563
06/15/2023 19:00,2528
06/15/2023 20:00,2465
06/15/2023 21:00,2127
06/15/2023 22:00,1556
06/15/2023 23:00,1635
06/16/2023 00:00,1532
06/16/2023 01:00,1375
06/16/2023 02:00,1476
06/16/2023 03:00,1471
06/16/2023 04:00,1426
06/16/2023 05:00,1537
06/16/2023 06:00,1733
06/16/2023 07:00,1796
06/16/2023 08:00,2236
06/16/2023 09:00,2338
06/16/2023 10:00,2348
06/16/2023 11:00,2466
06/16/2023 12:00,2518
06/16/2023 13:00,2510
06/16/2023 14:00,2490
06/16/2023 15:00,2515
06/16/2023 16:00,2521
06/16/2023 17:00,2410
06/16/2023 18:00,2573
06/16/2023 19:00,2658
06/16/2023 20:00,2447
06/16/2023 21:00,2069
06/16/2023 22:00,1556
06/16/2023 23:00,1634
06/17/2023 00:00,1460
06/17/2023 01:00,1373
06/17/2023 02:00,1474
06/17/2023 03:00,1471
06/17/2023 04:00,1426
06/17/2023 05:00,1538
06/17/2023 06:00,1728
06/17/2023 07:00,1797
06/17/2023 08:00,2242
06/17/2023 09:00,2333
06/17/2023 10:00,2352
06/17/2023 11:00,2463
06/17/2023 12:00,2521
06/17/2023 13:00,2582
06/17/2023 14:00,2485
06/17/2023 15:00,2514
06/17/2023 16:00,2500
06/17/2023 17:00,2415
06/17/2023 18:00,2593
06/17/2023 19:00,2568
06/17/2023 20:00,2443
06/17/2023 21:00,2104
06/17/2023 22:00,1554
06/17/2023 23:00,1633
06/18/2023 00:00,1505
06/18/2023 01:00,1373
06/18/2023 02:00,1476
06/18/2023 03:00,1470
06/18/2023 04:00,1426
06/18/2023 05:00,1539
06/18/2023 06:00,1733
06/18/2023 07:00,1796
06/18/2023 08:00,2240
06/18/2023 09:00,2335
06/18/2023 10:00,2353
06/18/2023 11:00,2467
06/18/2023 12:00,2520
06/18/2023 13:00,2581
06/18/2023 14:00,2493
06/18/2023 15:00,2506
06/18/2023 16:00,2521
06/18/2023 17:00,2441
06/18/2023 18:00,2579
06/18/2023 19:00,2569
06/18/2023 20:00,2380
06/18/2023 21:00,2092
06/18/2023 22:00,1559
06/18/2023 23:00,1616
06/19/2023 00:00,1494
06/19/2023 01:00,1373
06/19/2023 02:00,1476
06/19/2023 03:00,1470
06/19/2023 04:00,1426
06/19/2023 05:00,1538
06/19/2023 06:00,1732
06/19/2023 07:00,1796
06/19/2023 08:00,2243
06/19/2023 09:00,2334
06/19/2023 10:00,2352
06/19/2023 11:00,2484
06/19/2023 12:00,2519
06/19/2023 13:00,2581
06/19/2023 14:00,2493
06/19/2023 15:00,2511
06/19/2023 16:00,2522
06/19/2023 17:00,2438
06/19/2023 18:00,2600
06/19/2023 19:00,2574
06/19/2023 20:00,2450
06/19/2023 21:00,2108
06/19/2023 22:00,1568
06/19/2023 23:00,1626
06/20/2023 00:00,1509
06/20/2023 01:00,1374
06/20/2023 02:00,1477
06/20/2023 03:00,1471
06/20/2023 04:00,1427
06/20/2023 05:00,1537
06/20/2023 06:00,1731
06/20/2023 07:00,1796
06/20/2023 08:00,2240
06/20/2023 09:00,2336
06/20/2023 10:00,2353
06/20/2023 11:00,2467
06/20/2023 12:00,2520
06/20/2023 13:00,2575
06/20/2023 14:00,2494
06/20/2023 15:00,2514
06/20/2023 16:00,2522
06/20/2023 17:00,2421
06/20/2023 18:00,2632
06/20/2023 19:00,2581
06/20/2023 20:00,2442
06/20/2023 21:00,2083
06/20/2023 22:00,1564
06/20/2023 23:00,1635
06/21/2023 00:00,1478
06/21/2023 01:00,1374
06/21/2023 02:00,1475
06/21/2023 03:00,1471
06/21/2023 04:00,1426
06/21/2023 05:00,1538
06/21/2023 06:00,1731
06/21/2023 07:00,1796
06/21/2023 08:00,2255
06/21/2023 09:00,2329
06/21/2023 10:00,2339
06/21/2023 11:00,2474
06/21/2023 12:00,2514
06/21/2023 13:00,2598
06/21/2023 14:00,2489
06/21/2023 15:00,2515
06/21/2023 16:00,2522
06/21/2023 17:00,2441
06/21/2023 18:00,2601
06/21/2023 19:00,2581
06/21/2023 20:00,2451
06/21/2023 21:00,2112
06/21/2023 22:00,1538
06/21/2023 23:00,1604
06/22/2023 00:00,1471
06/22/2023 01:00,1372
06/22/2023 02:00,1477
06/22/2023 03:00,1471
06/22/2023 04:00,1426
06/22/2023 05:00,1538
06/22/2023 06:00,1732
06/22/2023 07:00,1796
06/22/2023 08:00,2237
06/22/2023 09:00,2332
06/22/2023 10:00,2299
06/22/2023 11:00,2451
06/22/2023 12:00,2517
06/22/2023 13:00,2598
