NRGSTREAM Data Extract for stream : ERC - Actual System Demand
Generated at : 10/29/2024 09:51 with : 30000 records
Date criteria from : Dec 27 2017 to : May 30 2021
Data Interval : 60 minutes

Date/Time,Avg Load (MW)
12/27/2017 00:00,38185
12/27/2017 01:00,37538
12/27/2017 02:00,37449
12/27/2017 03:00,37864
12/27/2017 04:00,39138
12/27/2017 05:00,41498
12/27/2017 06:00,44272
12/27/2017 07:00,46295
12/27/2017 08:00,47495
12/27/2017 09:00,48668
12/27/2017 10:00,49363
12/27/2017 11:00,49423
12/27/2017 12:00,49034
12/27/2017 13:00,48713
12/27/2017 14:00,48511
12/27/2017 15:00,48543
12/27/2017 16:00,49106
12/27/2017 17:00,50778
12/27/2017 18:00,51916
12/27/2017 19:00,51332
12/27/2017 20:00,50599
12/27/2017 21:00,49063
12/27/2017 22:00,46778
12/27/2017 23:00,44386
12/28/2017 00:00,42572
12/28/2017 01:00,41449
12/28/2017 02:00,40883
12/28/2017 03:00,40834
12/28/2017 04:00,41590
12/28/2017 05:00,43331
12/28/2017 06:00,45662
12/28/2017 07:00,47231
12/28/2017 08:00,47838
12/28/2017 09:00,48482
12/28/2017 10:00,48593
12/28/2017 11:00,48003
12/28/2017 12:00,46793
12/28/2017 13:00,45630
12/28/2017 14:00,44734
12/28/2017 15:00,44350
12/28/2017 16:00,44717
12/28/2017 17:00,46531
12/28/2017 18:00,48081
12/28/2017 19:00,47787
12/28/2017 20:00,47170
12/28/2017 21:00,45976
12/28/2017 22:00,43763
12/28/2017 23:00,41489
12/29/2017 00:00,39917
12/29/2017 01:00,38946
12/29/2017 02:00,38428
12/29/2017 03:00,38506
12/29/2017 04:00,39320
12/29/2017 05:00,41036
12/29/2017 06:00,43282
12/29/2017 07:00,44737
12/29/2017 08:00,45469
12/29/2017 09:00,45967
12/29/2017 10:00,45821
12/29/2017 11:00,45007
12/29/2017 12:00,43872
12/29/2017 13:00,42836
12/29/2017 14:00,41945
12/29/2017 15:00,41446
12/29/2017 16:00,41483
12/29/2017 17:00,43009
12/29/2017 18:00,44353
12/29/2017 19:00,43794
12/29/2017 20:00,43103
12/29/2017 21:00,41988
12/29/2017 22:00,40172
12/29/2017 23:00,38046
12/30/2017 00:00,36273
12/30/2017 01:00,35053
12/30/2017 02:00,34385
12/30/2017 03:00,34061
12/30/2017 04:00,34191
12/30/2017 05:00,34791
12/30/2017 06:00,35929
12/30/2017 07:00,37052
12/30/2017 08:00,38213
12/30/2017 09:00,39217
12/30/2017 10:00,39829
12/30/2017 11:00,39716
12/30/2017 12:00,39304
12/30/2017 13:00,38906
12/30/2017 14:00,38848
12/30/2017 15:00,39012
12/30/2017 16:00,39547
12/30/2017 17:00,41464
12/30/2017 18:00,43215
12/30/2017 19:00,43269
12/30/2017 20:00,43177
12/30/2017 21:00,42629
12/30/2017 22:00,41397
12/30/2017 23:00,39867
12/31/2017 00:00,38561
12/31/2017 01:00,37627
12/31/2017 02:00,37085
12/31/2017 03:00,37097
12/31/2017 04:00,37623
12/31/2017 05:00,38565
12/31/2017 06:00,40031
12/31/2017 07:00,41660
12/31/2017 08:00,43549
12/31/2017 09:00,45440
12/31/2017 10:00,46706
12/31/2017 11:00,47681
12/31/2017 12:00,48546
12/31/2017 13:00,49017
12/31/2017 14:00,49274
12/31/2017 15:00,49731
12/31/2017 16:00,50574
12/31/2017 17:00,52792
12/31/2017 18:00,54480
12/31/2017 19:00,54040
12/31/2017 20:00,53243
12/31/2017 21:00,52433
12/31/2017 22:00,51472
12/31/2017 23:00,50885
01/01/2018 00:00,50596
01/01/2018 01:00,50647
