NRGSTREAM Data Extract for stream : ERC - 5 Min Avg System Wide Wind
Generated at : 11/11/2024 11:09 with : 30024 records
Date criteria from : Dec 27 2017 to : May 31 2021
Data Interval : 60 minutes

Date/Time,MW
12/27/2017 00:00,2809.39
12/27/2017 01:00,2934.89
12/27/2017 02:00,3325.40
12/27/2017 03:00,3327.57
12/27/2017 04:00,3375.50
12/27/2017 05:00,3659.63
12/27/2017 06:00,3640.22
12/27/2017 07:00,3447.23
12/27/2017 08:00,3452.81
12/27/2017 09:00,3427.08
12/27/2017 10:00,3164.63
12/27/2017 11:00,2861.47
12/27/2017 12:00,2828.11
12/27/2017 13:00,2813.98
12/27/2017 14:00,2851.40
12/27/2017 15:00,2953.36
12/27/2017 16:00,2783.26
12/27/2017 17:00,2692.94
12/27/2017 18:00,2913.68
12/27/2017 19:00,2955.83
12/27/2017 20:00,2635.37
12/27/2017 21:00,2536.16
12/27/2017 22:00,2344.10
12/27/2017 23:00,2106.18
12/28/2017 00:00,2200.07
12/28/2017 01:00,2279.41
12/28/2017 02:00,2348.75
12/28/2017 03:00,2204.93
12/28/2017 04:00,2102.34
12/28/2017 05:00,1932.77
12/28/2017 06:00,1649.10
12/28/2017 07:00,1503.12
12/28/2017 08:00,1449.20
12/28/2017 09:00,1158.57
12/28/2017 10:00,867.38
12/28/2017 11:00,787.01
12/28/2017 12:00,789.40
12/28/2017 13:00,844.15
12/28/2017 14:00,855.69
12/28/2017 15:00,828.76
12/28/2017 16:00,873.37
12/28/2017 17:00,1135.47
12/28/2017 18:00,1569.47
12/28/2017 19:00,1706.91
12/28/2017 20:00,1822.31
12/28/2017 21:00,2310.06
12/28/2017 22:00,2646.61
12/28/2017 23:00,2566.11
12/29/2017 00:00,1971.48
12/29/2017 01:00,1844.23
12/29/2017 02:00,1853.30
12/29/2017 03:00,2428.24
12/29/2017 04:00,2945.39
12/29/2017 05:00,2956.92
12/29/2017 06:00,3737.53
12/29/2017 07:00,3942.22
12/29/2017 08:00,4733.35
12/29/2017 09:00,6053.04
12/29/2017 10:00,6959.02
12/29/2017 11:00,7913.72
12/29/2017 12:00,8538.57
12/29/2017 13:00,8989.64
12/29/2017 14:00,8392.84
12/29/2017 15:00,8228.48
12/29/2017 16:00,7052.42
12/29/2017 17:00,6562.29
12/29/2017 18:00,8156.92
12/29/2017 19:00,8818.04
12/29/2017 20:00,8408.06
12/29/2017 21:00,7211.77
12/29/2017 22:00,6691.06
12/29/2017 23:00,6848.01
12/30/2017 00:00,7203.13
12/30/2017 01:00,5611.64
12/30/2017 02:00,4791.54
12/30/2017 03:00,4548.73
12/30/2017 04:00,4431.25
12/30/2017 05:00,4027.35
12/30/2017 06:00,3940.54
12/30/2017 07:00,3909.74
12/30/2017 08:00,4041.20
12/30/2017 09:00,4254.75
12/30/2017 10:00,3980.35
12/30/2017 11:00,3356.35
12/30/2017 12:00,2383.31
12/30/2017 13:00,1640.67
12/30/2017 14:00,1109.57
12/30/2017 15:00,805.12
12/30/2017 16:00,638.66
12/30/2017 17:00,663.65
12/30/2017 18:00,732.17
12/30/2017 19:00,928.75
12/30/2017 20:00,1002.22
12/30/2017 21:00,1124.26
12/30/2017 22:00,1221.62
12/30/2017 23:00,1071.11
12/31/2017 00:00,929.90
12/31/2017 01:00,1040.12
12/31/2017 02:00,1252.79
12/31/2017 03:00,1298.39
12/31/2017 04:00,1099.60
12/31/2017 05:00,1127.06
12/31/2017 06:00,1425.99
12/31/2017 07:00,1618.29
12/31/2017 08:00,1755.99
12/31/2017 09:00,2022.63
12/31/2017 10:00,2621.26
12/31/2017 11:00,3138.61
12/31/2017 12:00,3622.91
12/31/2017 13:00,4086.57
12/31/2017 14:00,4341.10
12/31/2017 15:00,4286.03
12/31/2017 16:00,4218.42
12/31/2017 17:00,4285.05
12/31/2017 18:00,4279.20
12/31/2017 19:00,4490.35
12/31/2017 20:00,4578.31
12/31/2017 21:00,4558.37
12/31/2017 22:00,4578.63
12/31/2017 23:00,4618.11
01/01/2018 00:00,4638.26
01/01/2018 01:00,4536.51
01/01/2018 02:00,4541.88
01/01/2018 03:00,4574.78
01/01/2018 04:00,4481.79
01/01/2018 05:00,4378.47
01/01/2018 06:00,4191.42
01/01/2018 07:00,3958.22
01/01/2018 08:00,3616.87
01/01/2018 09:00,3371.09
01/01/2018 10:00,3025.04
01/01/2018 11:00,2545.67
01/01/2018 12:00,2040.08
01/01/2018 13:00,2092.32
01/01/2018 14:00,2216.74
01/01/2018 15:00,2085.54
01/01/2018 16:00,1891.62
01/01/2018 17:00,1687.96
01/01/2018 18:00,1898.24
01/01/2018 19:00,2201.20
01/01/2018 20:00,2547.27
01/01/2018 21:00,2937.57
01/01/2018 22:00,3424.30
01/01/2018 23:00,3543.56
01/02/2018 00:00,3389.26
01/02/2018 01:00,3123.07
01/02/2018 02:00,3122.43
01/02/2018 03:00,2975.79
01/02/2018 04:00,2778.03
01/02/2018 05:00,2475.70
01/02/2018 06:00,2218.29
01/02/2018 07:00,2127.18
01/02/2018 08:00,2011.46
01/02/2018 09:00,1794.35
01/02/2018 10:00,1699.78
01/02/2018 11:00,1651.70
01/02/2018 12:00,1784.55
01/02/2018 13:00,1908.49
01/02/2018 14:00,2196.18
01/02/2018 15:00,2563.61
01/02/2018 16:00,2913.30
01/02/2018 17:00,3144.43
01/02/2018 18:00,3456.59
01/02/2018 19:00,3500.02
01/02/2018 20:00,3609.82
01/02/2018 21:00,4181.05
01/02/2018 22:00,5183.94
01/02/2018 23:00,6173.58
01/03/2018 00:00,7254.42
01/03/2018 01:00,7859.45
01/03/2018 02:00,8335.16
01/03/2018 03:00,8539.12
01/03/2018 04:00,8498.68
01/03/2018 05:00,8422.93
01/03/2018 06:00,8449.27
01/03/2018 07:00,8610.06
01/03/2018 08:00,7267.17
01/03/2018 09:00,5289.84
01/03/2018 10:00,3737.79
01/03/2018 11:00,2905.56
01/03/2018 12:00,2372.01
01/03/2018 13:00,2129.98
01/03/2018 14:00,2051.65
01/03/2018 15:00,1810.55
01/03/2018 16:00,1308.13
01/03/2018 17:00,799.44
01/03/2018 18:00,744.65
01/03/2018 19:00,848.88
01/03/2018 20:00,1480.41
01/03/2018 21:00,2486.56
01/03/2018 22:00,3261.81
01/03/2018 23:00,3393.24
01/04/2018 00:00,3826.32
01/04/2018 01:00,4069.59
01/04/2018 02:00,4242.00
01/04/2018 03:00,4304.34
01/04/2018 04:00,4592.16
01/04/2018 05:00,5155.23
01/04/2018 06:00,5833.05
01/04/2018 07:00,6339.10
01/04/2018 08:00,6657.54
01/04/2018 09:00,5444.68
01/04/2018 10:00,4599.85
01/04/2018 11:00,6413.43
01/04/2018 12:00,6435.11
01/04/2018 13:00,5567.46
01/04/2018 14:00,4511.36
01/04/2018 15:00,4276.37
01/04/2018 16:00,4059.36
01/04/2018 17:00,4463.91
01/04/2018 18:00,5775.72
01/04/2018 19:00,6524.67
01/04/2018 20:00,7676.46
01/04/2018 21:00,7385.81
01/04/2018 22:00,6520.53
01/04/2018 23:00,6245.19
01/05/2018 00:00,6039.10
01/05/2018 01:00,5817.24
01/05/2018 02:00,5576.82
01/05/2018 03:00,5754.19
01/05/2018 04:00,5938.81
01/05/2018 05:00,5842.64
01/05/2018 06:00,5762.52
01/05/2018 07:00,5613.58
01/05/2018 08:00,4412.79
01/05/2018 09:00,2627.63
01/05/2018 10:00,2045.89
01/05/2018 11:00,1680.01
01/05/2018 12:00,1162.07
01/05/2018 13:00,932.19
01/05/2018 14:00,981.86
01/05/2018 15:00,1202.58
01/05/2018 16:00,1223.51
01/05/2018 17:00,1118.33
01/05/2018 18:00,1691.14
01/05/2018 19:00,2873.71
01/05/2018 20:00,4107.14
01/05/2018 21:00,5296.17
01/05/2018 22:00,6298.87
01/05/2018 23:00,6481.93
01/06/2018 00:00,6725.94
01/06/2018 01:00,6959.43
01/06/2018 02:00,6867.41
01/06/2018 03:00,5922.78
01/06/2018 04:00,4626.74
01/06/2018 05:00,4165.60
01/06/2018 06:00,4176.96
01/06/2018 07:00,4350.66
01/06/2018 08:00,4442.26
01/06/2018 09:00,3072.02
01/06/2018 10:00,2235.20
01/06/2018 11:00,2647.51
01/06/2018 12:00,3982.90
01/06/2018 13:00,5604.41
01/06/2018 14:00,7424.43
01/06/2018 15:00,9299.17
01/06/2018 16:00,10454.57
01/06/2018 17:00,10504.84
01/06/2018 18:00,12940.30
01/06/2018 19:00,14784.22
01/06/2018 20:00,15546.81
01/06/2018 21:00,15752.12
01/06/2018 22:00,15727.14
01/06/2018 23:00,15125.40
01/07/2018 00:00,14712.20
01/07/2018 01:00,14681.25
01/07/2018 02:00,14651.31
01/07/2018 03:00,14554.12
01/07/2018 04:00,14510.45
01/07/2018 05:00,14827.57
01/07/2018 06:00,15090.47
01/07/2018 07:00,15341.86
01/07/2018 08:00,15164.22
01/07/2018 09:00,14115.76
01/07/2018 10:00,13795.38
01/07/2018 11:00,13748.57
01/07/2018 12:00,13110.21
01/07/2018 13:00,13016.33
01/07/2018 14:00,12565.82
01/07/2018 15:00,13451.03
01/07/2018 16:00,14203.89
01/07/2018 17:00,13364.74
01/07/2018 18:00,11347.70
01/07/2018 19:00,10560.79
01/07/2018 20:00,9568.22
01/07/2018 21:00,9765.59
01/07/2018 22:00,9561.59
01/07/2018 23:00,8305.17
01/08/2018 00:00,7113.98
01/08/2018 01:00,6648.28
01/08/2018 02:00,6747.27
01/08/2018 03:00,7269.18
01/08/2018 04:00,7465.95
01/08/2018 05:00,7147.75
01/08/2018 06:00,6858.95
01/08/2018 07:00,6523.25
01/08/2018 08:00,5106.21
01/08/2018 09:00,3558.00
01/08/2018 10:00,3313.65
01/08/2018 11:00,3080.67
01/08/2018 12:00,2976.55
01/08/2018 13:00,3156.40
01/08/2018 14:00,3242.98
01/08/2018 15:00,3264.77
01/08/2018 16:00,3281.33
01/08/2018 17:00,3427.01
01/08/2018 18:00,4401.10
01/08/2018 19:00,5115.49
01/08/2018 20:00,6075.67
01/08/2018 21:00,7146.02
01/08/2018 22:00,7579.87
01/08/2018 23:00,7963.47
01/09/2018 00:00,8480.52
01/09/2018 01:00,9092.73
01/09/2018 02:00,10301.75
01/09/2018 03:00,11420.67
01/09/2018 04:00,11987.32
01/09/2018 05:00,12126.14
01/09/2018 06:00,12116.74
01/09/2018 07:00,12310.60
01/09/2018 08:00,11823.07
01/09/2018 09:00,9428.27
01/09/2018 10:00,7755.03
01/09/2018 11:00,7457.48
01/09/2018 12:00,7306.11
01/09/2018 13:00,7210.86
01/09/2018 14:00,7419.92
01/09/2018 15:00,7526.04
01/09/2018 16:00,7684.22
01/09/2018 17:00,7944.55
01/09/2018 18:00,10932.79
01/09/2018 19:00,13461.77
01/09/2018 20:00,14370.03
01/09/2018 21:00,14877.59
01/09/2018 22:00,14545.59
01/09/2018 23:00,13896.89
01/10/2018 00:00,13921.50
01/10/2018 01:00,13817.58
01/10/2018 02:00,13977.51
01/10/2018 03:00,13881.40
01/10/2018 04:00,13813.95
01/10/2018 05:00,13805.20
01/10/2018 06:00,14454.34
01/10/2018 07:00,14451.74
01/10/2018 08:00,13943.31
01/10/2018 09:00,12945.80
01/10/2018 10:00,13489.71
01/10/2018 11:00,14673.44
01/10/2018 12:00,14854.10
01/10/2018 13:00,14949.61
01/10/2018 14:00,15374.07
01/10/2018 15:00,15349.65
01/10/2018 16:00,14318.83
01/10/2018 17:00,15036.33
01/10/2018 18:00,15835.70
01/10/2018 19:00,14344.67
01/10/2018 20:00,14481.88
01/10/2018 21:00,14610.42
01/10/2018 22:00,15022.88
01/10/2018 23:00,15060.18
01/11/2018 00:00,14614.27
01/11/2018 01:00,14191.74
01/11/2018 02:00,13748.81
01/11/2018 03:00,13377.92
01/11/2018 04:00,12569.89
01/11/2018 05:00,11396.02
01/11/2018 06:00,11349.57
