NRGSTREAM Data Extract for stream : ERC - Unplanned Resource Outages
Generated at : 12/11/2024 11:08 with : 11985 records
Date criteria from : Jun 01 2023 to : Oct 02 2023
Data Interval : 1440 minutes

Station Long Name,Resource Name,Fuel Type,Outage Type,Available MW,Outage MW,Reduction MW,Outage Start,Outage End,Reason
BRAUNIG,BRAUNIG_AVR1_ST,Natural Gas,Maintenance Level 2,190,100,90,10/02/2023 00:00,Oct 05 2023 23:59,Other
CALAVERS,CALAVERS_OWS1,Natural Gas,Forced,420,0,420,10/02/2023 00:00,Oct 08 2023 23:59,Tube Leak
ETCCS,ETCCS_CT1,Natural Gas,Forced Extension,212,192,20,10/02/2023 00:00,Oct 04 2023 23:59,Other
FRNYPP,FRNYPP_GT11,Natural Gas,Forced Extension,169,156,13,10/02/2023 00:00,Oct 04 2023 23:59,Other
FRNYPP,FRNYPP_GT12,Natural Gas,Forced Extension,161,149,12,10/02/2023 00:00,Oct 04 2023 23:59,Other
FRNYPP,FRNYPP_GT13,Natural Gas,Forced Extension,161,149,12,10/02/2023 00:00,Oct 04 2023 23:59,Other
FRNYPP,FRNYPP_GT21,Natural Gas,Forced Extension,169,155,14,10/02/2023 00:00,Oct 04 2023 23:59,Other
FRNYPP,FRNYPP_GT22,Natural Gas,Forced Extension,161,146,15,10/02/2023 00:00,Oct 04 2023 23:59,Other
FRNYPP,FRNYPP_GT23,Natural Gas,Forced Extension,161,147,14,10/02/2023 00:00,Oct 04 2023 23:59,Other
LPCCS,LPCCS_CT21,Natural Gas,Forced Extension,153,140,13,10/02/2023 00:00,Oct 04 2023 23:59,Other
LPCCS,LPCCS_CT22,Natural Gas,Forced Extension,161,147,14,10/02/2023 00:00,Oct 04 2023 23:59,Other
MDANP,MDANP_CT1,Natural Gas,Forced Extension,233,220,13,10/02/2023 00:00,Oct 04 2023 23:59,Other
WCPP,WCPP_CT1,Natural Gas,Forced Extension,245,194,51,10/02/2023 00:00,Oct 04 2023 23:59,Other
WCPP,WCPP_CT2,Natural Gas,Forced Extension,245,194,51,10/02/2023 00:00,Oct 04 2023 23:59,Other
COLETO,COLETO_COLETOG1,Subbituminous Coal,Forced,655,175,480,10/01/2023 20:00,Oct 02 2023 23:58,Emissions
VERAWIND,VERAWIND_UNIT1,Wind,Forced,12,12,0,10/01/2023 19:37,Oct 02 2023 22:00,Turbine/Generator Vibration/Repair
VERAWIND,VERAWIND_UNIT2,Wind,Forced,7,7,0,10/01/2023 19:37,Oct 02 2023 22:00,Turbine/Generator Vibration/Repair
VERAWIND,VERAWIND_UNIT3,Wind,Forced,101,60,41,10/01/2023 19:37,Oct 02 2023 22:00,Turbine/Generator Vibration/Repair
VERAWIND,VERAWIND_UNIT4,Wind,Forced,22,16,6,10/01/2023 19:37,Oct 02 2023 22:00,Turbine/Generator Vibration/Repair
VERAWIND,VERAWIND_UNIT5,Wind,Forced,101,48,53,10/01/2023 19:37,Oct 02 2023 22:00,Turbine/Generator Vibration/Repair
CABEZON,CABEZON_WIND1,Wind,Forced,115,99,16,10/01/2023 19:27,Oct 02 2023 22:00,Other
CABEZON,CABEZON_WIND2,Wind,Forced,122,109,13,10/01/2023 19:27,Oct 02 2023 22:00,Other
LEG,LEG_LEG_G2,Lignite,Forced Extension,836,574,262,10/01/2023 17:53,Oct 01 2023 23:59,Inlet Air Problems/Repairs
COLETO,COLETO_COLETOG1,Subbituminous Coal,Forced,655,400,255,10/01/2023 16:09,Oct 02 2023 23:58,Emissions
COYOTE_W,COYOTE_W_UNIT3,Wind,Forced,126,104,22,10/01/2023 15:50,Oct 08 2023 23:59,Other
MCSES,MCSES_UNIT8,Natural Gas,Forced,568,0,568,10/01/2023 14:25,Oct 01 2023 14:26,Other
TAYGETE,TAYGETE_UNIT2,Solar,Forced,129,106,23,10/01/2023 14:00,Oct 31 2023 18:00,Other
WAP,WAP_WAP_G4,Natural Gas,Forced,536,0,536,10/01/2023 14:00,Oct 01 2023 16:00,Fuel Problems/Repairs
COLETO,COLETO_COLETOG1,Subbituminous Coal,Forced,655,355,300,10/01/2023 13:53,Oct 02 2023 23:58,Emissions
LEG,LEG_LEG_G2,Lignite,Forced,836,633,203,10/01/2023 13:23,Oct 01 2023 19:00,Inlet Air Problems/Repairs
GRIF_TRL,GRIF_TRL_UNIT2,Wind,Forced,127,116,11,10/01/2023 11:51,Oct 03 2023 11:51,Turbine/Generator Vibration/Repair
BAIRDWND,BAIRDWND_UNIT1,Wind,Forced,195,165,30,10/01/2023 09:30,Oct 30 2023 22:00,Other
BAIRDWND,BAIRDWND_UNIT2,Wind,Forced,145,75,70,10/01/2023 09:30,Oct 30 2023 22:00,Other
DAN,DAN_UNIT1,Solar,Forced,300,70,230,10/01/2023 08:35,Oct 31 2023 23:59,Other
DAN,DAN_UNIT2,Solar,Forced,150,10,140,10/01/2023 08:35,Oct 31 2023 23:59,Other
DAN,DAN_UNIT3,Solar,Forced,150,10,140,10/01/2023 08:35,Oct 31 2023 23:59,Other
MYR,MYR_UNIT1,Solar,Forced,167,150,17,10/01/2023 08:35,Oct 31 2023 23:59,Other
MYR,MYR_UNIT2,Solar,Forced,146,132,14,10/01/2023 08:35,Oct 31 2023 23:59,Other
NEBULA,NEBULA_UNIT1,Solar,Forced,138,134,4,10/01/2023 08:35,Oct 31 2023 23:59,Other
VANCOURT,VANCOURT_UNIT1,Solar,Forced,46,32,14,10/01/2023 08:35,Oct 31 2023 23:59,Other
DAN,DAN_UNIT1,Solar,Forced Extension,300,70,230,10/01/2023 08:35,Nov 30 2023 23:59,Other
