Texas Natural Gas Price Sold to Electric Power Consumers,
https://www.eia.gov/dnav/ng/hist/n3045tx3m.htm,
14:51:48 GMT-0600 (Central Standard Time),
Data source: U.S. Energy Information Administration,
Month,Texas Natural Gas Price Sold to Electric Power Consumers  Dollars per Thousand Cubic Feet
9/1/24,2.05
8/1/24,1.76
7/1/24,2.02
6/1/24,2.25
5/1/24,1.78
4/1/24,1.5
3/1/24,1.59
2/1/24,1.97
1/1/24,4.03
12/1/23,2.41
11/1/23,2.64
10/1/23,2.71
9/1/23,2.67
8/1/23,2.67
7/1/23,2.66
6/1/23,2.36
5/1/23,2.22
4/1/23,2.17
3/1/23,2.51
2/1/23,2.63
1/1/23,3.32
12/1/22,5.34
11/1/22,4.74
10/1/22,5.24
9/1/22,7.63
8/1/22,8.52
7/1/22,7.12
6/1/22,7.61
5/1/22,7.8
4/1/22,6.3
3/1/22,4.93
2/1/22,5.49
1/1/22,4.47
12/1/21,9.13
11/1/21,5.84
10/1/21,6.22
9/1/21,5.56
8/1/21,4.74
7/1/21,4.49
6/1/21,3.73
5/1/21,3.42
4/1/21,3.25
3/1/21,3.06
2/1/21,61.88
1/1/21,2.9
12/1/20,2.82
11/1/20,2.79
10/1/20,2.41
9/1/20,2.19
8/1/20,2.42
7/1/20,2.01
6/1/20,1.83
5/1/20,1.98
4/1/20,1.83
3/1/20,1.76
2/1/20,1.86
1/1/20,1.93
12/1/19,2.11
11/1/19,2.46
10/1/19,2.3
9/1/19,2.39
8/1/19,2.13
7/1/19,2.17
6/1/19,2.17
5/1/19,2.37
4/1/19,2.43
3/1/19,2.75
2/1/19,2.76
1/1/19,3.14
12/1/18,3.86
11/1/18,3.79
10/1/18,3.28
9/1/18,2.96
8/1/18,3.04
7/1/18,2.98
6/1/18,3.03
5/1/18,2.89
4/1/18,2.82
3/1/18,2.74
2/1/18,2.91
1/1/18,4.08
12/1/17,2.98
11/1/17,3.12
10/1/17,3.13
9/1/17,3.14
8/1/17,3.07
7/1/17,3.21
6/1/17,3.24
5/1/17,3.33
4/1/17,3.24
3/1/17,3.04
2/1/17,3.15
1/1/17,3.51
12/1/16,3.44
11/1/16,2.71
10/1/16,3.24
9/1/16,3.13
8/1/16,2.94
7/1/16,2.95
6/1/16,2.62
5/1/16,2.17
4/1/16,2.14
3/1/16,1.91
2/1/16,2.19
1/1/16,2.53
12/1/15,2.22
11/1/15,2.3
10/1/15,2.66
9/1/15,2.88
8/1/15,3.01
7/1/15,3.03
6/1/15,2.98
5/1/15,3.02
4/1/15,2.82
3/1/15,3.02
2/1/15,3.1
1/1/15,3.28
12/1/14,4.01
11/1/14,4.21
10/1/14,4.1
9/1/14,4.19
8/1/14,4.13
7/1/14,4.41
6/1/14,4.85
5/1/14,4.79
4/1/14,4.86
3/1/14,5.24
2/1/14,6.54
1/1/14,4.82
12/1/13,4.4
11/1/13,3.87
10/1/13,3.79
9/1/13,3.81
8/1/13,3.65
7/1/13,3.89
6/1/13,4.15
5/1/13,4.34
4/1/13,4.35
3/1/13,3.96
2/1/13,3.6
1/1/13,3.57
12/1/12,3.72
11/1/12,3.74
10/1/12,3.46
9/1/12,3.04
8/1/12,3.2
7/1/12,3.13
6/1/12,2.71
5/1/12,2.54
4/1/12,2.26
3/1/12,2.51
2/1/12,2.9
1/1/12,3.12
12/1/11,3.55
11/1/11,3.6
10/1/11,3.9
9/1/11,4.22
8/1/11,4.45
7/1/11,4.7
6/1/11,4.75
5/1/11,4.56
4/1/11,4.53
3/1/11,4.22
2/1/11,4.75
1/1/11,4.51
12/1/10,4.54
11/1/10,3.81
10/1/10,3.83
9/1/10,4.12
8/1/10,4.62
7/1/10,4.81
6/1/10,4.8
5/1/10,4.32
4/1/10,4.21
3/1/10,4.76
2/1/10,5.6
1/1/10,6.19
12/1/09,5.26
11/1/09,4.11
10/1/09,4.05
9/1/09,3.13
8/1/09,3.54
7/1/09,3.77
6/1/09,3.87
5/1/09,3.82
4/1/09,3.62
3/1/09,3.67
2/1/09,4.42
1/1/09,5.24
12/1/08,5.91
11/1/08,5.72
10/1/08,6.26
9/1/08,7.1
8/1/08,8.63
7/1/08,11.34
6/1/08,12.18
5/1/08,10.48
4/1/08,9.95
3/1/08,8.92
2/1/08,8.08
1/1/08,7.73
12/1/07,7
11/1/07,6.58
10/1/07,6.68
9/1/07,5.88
8/1/07,6.19
7/1/07,6.55
6/1/07,7.48
5/1/07,7.51
4/1/07,7.29
3/1/07,6.9
2/1/07,7.34
1/1/07,6.42
12/1/06,6.92
11/1/06,6.87
10/1/06,5.09
9/1/06,5.83
8/1/06,7.03
7/1/06,6.06
6/1/06,6.08
5/1/06,6.34
4/1/06,6.82
3/1/06,6.76
2/1/06,7.48
1/1/06,8.48
12/1/05,10.72
11/1/05,9.32
10/1/05,11.3
9/1/05,10.43
8/1/05,8.41
7/1/05,7.29
6/1/05,6.88
5/1/05,6.66
4/1/05,7.07
3/1/05,6.47
2/1/05,6.04
1/1/05,6.01
12/1/04,6.59
11/1/04,6.57
10/1/04,5.85
9/1/04,5.13
8/1/04,5.86
7/1/04,6.07
6/1/04,6.45
5/1/04,6.14
4/1/04,5.54
3/1/04,5.22
2/1/04,5.41
1/1/04,5.92
12/1/03,5.39
11/1/03,4.49
10/1/03,4.62
9/1/03,4.91
8/1/03,5.06
7/1/03,5.27
6/1/03,5.97
5/1/03,
4/1/03,5.2
3/1/03,7.2
2/1/03,6.91
1/1/03,5.11
12/1/02,4.28
11/1/02,4.09
10/1/02,3.95
9/1/02,3.49
8/1/02,3.21
7/1/02,3.37
6/1/02,3.39
5/1/02,3.52
4/1/02,3.57
3/1/02,2.96
2/1/02,2.36
1/1/02,2.65
